date,iip_durable,iip_nondurable,iip_combined,iip_durable_yoy,iip_nondurable_yoy,iip_combined_yoy,iip_durable_mom,iip_nondurable_mom,iip_combined_mom,iip_durable_3m_avg,iip_durable_6m_avg,iip_nondurable_3m_avg,iip_nondurable_6m_avg,iip_combined_3m_avg,iip_combined_6m_avg
2012-04-01,2.0,-3.0,-0.5,100.0,-380.0,-1340.0,154.99999999999997,-93.33333333333331,-590.0,4.0,3.75,0.5666666666666668,1.2333333333333334,2.283333333333333,2.4916666666666667
2012-05-01,5.1,-0.2,2.45,100.0,-380.0,-1340.0,154.99999999999997,-93.33333333333331,-590.0,4.0,3.75,0.5666666666666668,1.2333333333333334,2.283333333333333,2.4916666666666667
2012-06-01,4.9,4.9,4.9,100.0,-380.0,-1340.0,-3.9215686274509673,-2550.0,100.00000000000004,4.0,3.75,0.5666666666666668,1.2333333333333334,2.283333333333333,2.4916666666666667
2012-07-01,2.2,3.7,2.95,100.0,-380.0,-1340.0,-55.10204081632652,-24.489795918367356,-39.795918367346935,4.066666666666666,3.75,2.8000000000000003,1.2333333333333334,3.4333333333333336,2.4916666666666667
2012-08-01,1.1,3.8,2.45,100.0,-380.0,-1340.0,-50.0,2.7027027027026973,-16.94915254237288,2.733333333333334,3.75,4.133333333333333,1.2333333333333334,3.4333333333333336,2.4916666666666667
2012-09-01,7.2,-1.8,2.7,100.0,-380.0,-1340.0,554.5454545454545,-147.3684210526316,10.20408163265305,3.5,3.75,1.9,1.2333333333333334,2.7000000000000006,2.4916666666666667
2012-10-01,15.1,2.4,8.75,100.0,-380.0,-1340.0,109.72222222222224,-233.3333333333333,224.07407407407405,7.8,5.933333333333334,1.4666666666666666,2.1333333333333333,4.633333333333334,4.033333333333333
2012-11-01,-5.8,2.6,-1.6,100.0,-380.0,-1340.0,-138.41059602649003,8.333333333333348,-118.28571428571428,5.5,4.116666666666666,1.0666666666666669,2.6,3.2833333333333345,3.358333333333333
2012-12-01,3.6,17.5,10.55,100.0,-380.0,-1340.0,-162.06896551724137,573.0769230769231,-759.3750000000001,4.3,3.9,7.5,4.7,5.900000000000001,4.3
2013-01-01,8.2,13.2,10.7,100.0,-380.0,-1340.0,127.77777777777776,-24.571428571428577,1.42180094786728,2.0,4.9,11.1,6.283333333333334,6.550000000000001,5.591666666666666
