date,interest_rate
1949-03-16,9.0
1951-11-15,9.0
1957-05-16,9.0
1960-03-06,9.0
1960-05-06,9.0
1960-11-11,9.0
1962-09-16,9.0
1963-01-03,9.0
1964-09-16,9.0
1964-09-26,9.0
1965-02-17,9.0
1968-03-02,9.0
1970-02-05,9.0
1970-04-24,9.0
1970-08-28,9.0
1971-01-09,9.0
1972-08-04,9.0
1972-11-17,9.0
1973-05-31,9.0
1973-06-29,9.0
1973-09-08,9.0
1973-09-22,9.0
1973-12-08,9.0
1974-07-01,9.0
1974-07-23,9.0
1974-12-14,9.0
1974-12-28,9.0
1976-09-04,9.0
1976-11-13,9.0
1978-12-01,9.0
1981-07-12,9.0
1981-07-31,9.0
1981-08-21,9.0
1981-09-25,9.0
1981-10-30,9.0
1981-11-27,9.0
1981-12-25,9.0
1982-01-29,9.0
1982-04-09,9.0
1982-06-11,9.0
1983-05-27,9.0
1983-07-29,9.0
1983-08-27,9.0
1984-02-04,9.0
1984-07-28,9.0
1984-09-01,9.0
1985-06-08,9.0
1985-07-06,9.0
1987-02-28,9.0
1987-04-25,9.0
1987-10-24,9.0
1988-01-02,9.0
1988-07-02,9.0
1988-07-30,9.0
1989-07-01,9.0
1990-09-22,9.0
1991-07-04,9.0
1991-10-09,9.0
1993-01-09,9.0
1993-02-06,9.0
1993-03-06,9.0
1993-04-17,9.0
1993-05-15,9.0
1993-08-21,9.0
1993-09-18,9.0
1993-10-16,9.0
1994-06-11,9.0
1994-07-09,9.0
1994-08-06,9.0
1994-08-20,9.0
1994-09-17,9.0
1994-10-29,9.0
1995-11-11,9.0
1995-12-09,9.0
1996-04-27,9.0
1996-05-11,9.0
1996-07-06,9.0
1996-10-26,9.0
1996-11-09,9.0
1997-01-04,9.0
1997-01-18,9.0
1997-04-16,9.0
1997-06-26,9.0
1997-10-22,9.0
1997-10-25,9.0
1997-11-22,9.0
1997-12-06,9.0
1998-01-17,9.0
1998-03-19,9.0
1998-03-28,9.0
1998-04-03,9.0
1998-04-11,9.0
1998-04-29,9.0
1998-08-29,9.0
1999-03-02,9.0
1999-03-13,9.0
1999-05-08,9.0
1999-11-06,9.0
1999-11-20,9.0
2000-04-02,9.0
