date,interest_rate
1949-03-16,
1951-11-15,
1957-05-16,
1960-03-06,
1960-05-06,
1960-11-11,
1962-09-16,
1963-01-03,
1964-09-16,
1964-09-26,
1965-02-17,
1968-03-02,
1970-02-05,
1970-04-24,
1970-08-28,
1971-01-09,
1972-08-04,
1972-11-17,
1973-05-31,
1973-06-29,
1973-09-08,
1973-09-22,
1973-12-08,
1974-07-01,
1974-07-23,
1974-12-14,
1974-12-28,
1976-09-04,
1976-11-13,
1978-12-01,
1981-07-12,
1981-07-31,
1981-08-21,
1981-09-25,
1981-10-30,
1981-11-27,
1981-12-25,
1982-01-29,
1982-04-09,
1982-06-11,
1983-05-27,
1983-07-29,
1983-08-27,
1984-02-04,
1984-07-28,
1984-09-01,
1985-06-08,
1985-07-06,
1987-02-28,
1987-04-25,
1987-10-24,
1988-01-02,
1988-07-02,
1988-07-30,
1989-07-01,
1990-09-22,
1991-07-04,
1991-10-09,
1993-01-09,
1993-02-06,
1993-03-06,
1993-04-17,
1993-05-15,
1993-08-21,
1993-09-18,
1993-10-16,
1994-06-11,
1994-07-09,
1994-08-06,
1994-08-20,
1994-09-17,
1994-10-29,
1995-11-11,
1995-12-09,
1996-04-27,
1996-05-11,
1996-07-06,
1996-10-26,
1996-11-09,
1997-01-04,
1997-01-18,
1997-04-16,
1997-06-26,
1997-10-22,
1997-10-25,
1997-11-22,
1997-12-06,
1998-01-17,
1998-03-19,
1998-03-28,
1998-04-03,
1998-04-11,
1998-04-29,
1998-08-29,
1999-03-02,
1999-03-13,
1999-05-08,
1999-11-06,
1999-11-20,
2000-04-02,
2000-04-08,
2000-04-22,
2000-07-22,
2000-07-29,
2000-08-12,
2001-02-17,
2001-02-24,
2001-03-02,
2001-03-10,
2001-04-27,9.0
2001-04-30,8.75
2001-05-19,
2001-05-28,
2001-06-07,8.5
2001-10-23,
2001-11-03,
2001-12-29,
2002-03-05,
2002-03-28,8.0
2002-06-01,
2002-06-27,
2002-10-29,
2002-11-12,7.5
2002-11-16,
2003-03-03,
2003-03-07,7.1
2003-03-19,7.0
2003-04-29,
2003-06-14,
2003-08-25,
2004-03-31,6.0
2004-09-18,
2004-10-02,
2004-10-27,
2005-04-29,
2005-10-26,6.25
2006-01-24,6.5
2006-06-08,6.75
2006-07-25,7.0
2006-10-31,7.25
2006-12-23,
2007-01-06,
2007-01-31,7.5
2007-02-17,
2007-03-03,
2007-03-31,7.75
2007-04-14,
2007-04-28,
2007-08-04,
2007-11-10,
2008-04-26,
2008-05-10,
2008-05-24,
2008-06-12,8.0
2008-06-25,8.5
2008-07-05,
2008-07-19,
2008-07-30,9.0
2008-08-30,
2008-10-11,
2008-10-20,8.0
2008-10-25,
2008-11-03,7.5
2008-11-08,
2008-12-08,6.5
2009-01-05,5.5
2009-01-17,
2009-03-05,5.0
2009-04-21,4.75
2009-11-07,
2010-02-13,
2010-02-27,
2010-03-19,5.0
2010-04-20,5.25
2010-04-24,
2010-07-02,5.5
2010-07-27,5.75
2010-09-16,6.0
2010-11-02,6.25
2010-12-18,
2011-01-25,6.5
2011-03-17,6.75
2011-05-03,7.25
2011-06-16,7.5
2011-07-26,8.0
2011-09-16,8.25
2011-10-25,8.5
2012-01-28,
2012-02-13,
2012-03-10,
2012-04-17,8.0
2012-08-11,
2012-09-22,
2012-11-03,
2013-01-29,7.75
2013-02-09,
2013-03-19,7.5
2013-05-03,7.25
2013-07-15,
2013-09-20,7.5
2013-10-07,
2013-10-29,7.75
2014-01-28,8.0
2014-06-14,
2014-08-09,
2015-01-15,7.75
2015-02-07,
2015-03-04,7.5
2015-06-02,7.25
2015-09-29,6.75
2016-04-02,
2016-04-05,6.5
2016-07-09,
2016-10-01,
2016-10-04,6.25
2017-01-07,
2017-04-06,
2017-06-24,
2017-08-02,6.0
2017-10-14,
2018-06-06,6.25
2018-08-01,6.5
2019-01-05,
2019-02-07,6.25
2019-04-04,6.0
2019-04-13,
2019-06-06,5.75
2019-07-06,
2019-08-07,5.4
2019-10-04,5.15
2019-10-12,
2020-01-04,
2020-03-27,4.4
2020-03-28,
2020-04-11,
2020-04-17,4.4
2020-05-22,4.0
2021-03-27,
2021-05-22,
2022-04-08,
2022-05-04,4.4
2022-05-21,
2022-06-08,4.9
2022-08-05,5.4
2022-09-30,5.9
2022-12-07,6.25
2023-02-08,6.5
2024-12-14,
2024-12-28,
2025-02-07,6.25
2025-04-09,6.0
